price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,region,population_(rounded)*,postcode,ethnic_breakdown_2016,median_house_price_(2020),median_house_price_(2021),%_change,median_house_rent_(per_week),median_apartment_price_(2020),median_apartment_rent_(per_week),public_housing_%,avg._years_held,time_to_cbd_(public_transport)_[town_hall_st],time_to_cbd_(driving)_[town_hall_st],nearest_train_station,highlights/attractions,ideal_for,traffic,public_transport,affordability_(rental),affordability_(buying),nature,noise,things_to_see/do,family-friendliness,pet_friendliness,safety,overall_rating,review_link
625000,2016-01-20,Chittaway Bay,2,4,2,555,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520000,2016-01-20,Leumeah,1,3,1,651,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,South West,"10,000",2560.0,"Australian 23.0%, English 22.7%, Irish 6.8%, Scottish 5.6%, Indian 3.4%","$590,000.00","$680,000.00",15.25%,$385.00,"$380,000.00",$345.00,10%,12.7,60 minutes,50 minutes,Leumeah,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
510000,2016-01-20,Winmalee,1,3,1,993,House,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610000,2016-01-21,Chittaway Bay,3,5,8,862,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570000,2016-01-21,Winmalee,1,3,2,828,House,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555000,2016-01-21,Bensville,2,4,0,748,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000,2016-01-22,North Rocks,1,3,4,900,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,Hills Shire,"8,000",2151.0,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
540000,2016-01-22,Kincumber,1,3,2,623,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395000,2016-01-22,Kincumber,1,1,0,642,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272500,2016-01-22,The Entrance North,1,1,1,122,Apartment / Unit / Flat,1474,31148,1.018,-33.33333,151.50775,0,2.0,150.9,65.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
